25-05-38-26-53-04,4/19/10
07-45-50-33-19-34,4/21/10
55-25-21-30-09-39,4/24/10
26-11-30-12-13-41,4/26/10
32-23-44-11-50-39,4/28/10
45-30-07-44-55-54,5/1/10
21-10-35-46-48-27,5/3/10
52-41-05-53-11-50,5/5/10
40-38-17-43-10-54,5/8/10
45-27-29-12-39-31,5/12/10
24-42-38-02-18-09,5/15/10
13-43-28-06-53-30,5/17/10
45-47-29-30-53-13,5/19/10
38-45-28-48-47-36,5/22/10
25-34-18-06-07-55,5/24/10
47-19-31-41-08-05,5/26/10
43-31-39-17-07-27,5/31/10
03-31-07-23-36-38,6/2/10
09-35-53-34-15-11,5/29/10
42-16-09-54-29-22,6/5/10
26-07-04-24-08-53,6/7/10
28-39-52-24-50-23,6/9/10
46-06-12-55-44-32,6/12/10
46-32-18-20-48-16,6/14/10
15-30-31-12-38-34,6/16/10
48-01-02-19-27-38,6/19/10
24-13-07-48-41-51,6/21/10
28-51-02-40-26-13,6/23/10
43-48-37-07-39-23,6/26/10
24-34-17-05-30-39,6/28/10
40-11-08-35-19-04,6/30/10
43-21-12-24-40-07,7/3/10
18-06-54-40-05-42,7/5/10
09-01-54-36-30-08,7/7/10
27-07-40-34-20-14,7/10/10
50-21-35-03-39-05,7/12/10
26-19-02-13-42-39,7/17/10
41-37-48-06-50-42,7/19/10
35-26-45-39-31-41,7/21/10
07-16-22-21-06-54,7/14/10
19-10-44-45-22-39,7/24/10
42-28-08-48-04-46,7/26/10
25-14-10-52-13-20,7/28/10
24-44-52-09-28-42,7/31/10
44-53-42-45-11-35,8/2/10
42-12-43-49-23-36,8/4/10
40-52-05-06-36-03,8/7/10
45-42-23-33-48-02,8/9/10
05-45-43-49-03-08,8/11/10
54-37-29-18-53-13,8/14/10
40-25-54-37-44-05,8/16/10
15-17-54-10-26-39,8/18/10
35-16-33-51-20-50,8/21/10
03-38-04-28-07-15,8/23/10
55-36-52-45-24-12,8/25/10
01-18-37-47-43-50,8/28/10
49-11-26-27-09-12,8/30/10
15-26-25-17-54-53,9/1/10
19-26-10-24-51-46,9/4/10
04-23-32-55-51-53,9/6/10
39-43-21-35-06-49,9/8/10
26-40-49-10-02-09,9/11/10
08-13-29-09-07-12,9/13/10
42-55-49-52-21-05,9/15/10
08-34-13-16-54-12,9/18/10
39-48-41-07-33-26,9/20/10
49-36-46-05-50-18,9/22/10
49-18-46-38-10-50,9/25/10
04-51-42-31-02-24,9/27/10
26-34-38-40-52-42,9/29/10
18-20-34-01-48-10,10/2/10
27-18-35-14-32-19,10/4/10
42-30-25-05-52-18,10/6/10
52-42-39-14-36-33,10/9/10
15-12-03-33-08-09,10/11/10
13-19-26-54-44-22,10/13/10
02-51-21-40-28-36,10/16/10
14-32-30-47-18-23,10/18/10
38-25-16-48-26-42,10/20/10
48-43-40-33-47-24,10/23/10
43-38-26-02-12-48,10/25/10
35-16-47-38-09-15,10/27/10
54-02-34-31-42-08,10/30/10
08-49-29-35-28-45,11/1/10
43-20-05-37-13-06,11/3/10
15-38-17-39-11-03,11/6/10
43-12-14-30-51-46,11/8/10
04-34-29-35-30-10,11/10/10
03-31-34-13-48-11,11/13/10
43-13-29-44-04-20,11/15/10
53-09-45-24-50-29,11/17/10
18-17-36-04-40-13,11/20/10
04-41-40-55-42-45,11/24/10
22-25-17-50-19-37,11/22/10
22-55-51-14-54-45,11/27/10
11-16-42-47-31-37,11/29/10
33-05-03-40-21-55,12/1/10
38-45-36-13-24-28,12/4/10
30-28-40-49-07-01,12/6/10
07-10-26-43-04-31,12/8/10
50-38-17-11-03-04,12/11/10
30-37-28-24-23-19,12/13/10
28-20-18-17-31-16,12/15/10
45-13-44-25-41-42,12/18/10
46-02-03-21-50-51,12/20/10
11-19-40-34-26-18,12/22/10
52-09-20-01-14-28,12/27/10
42-24-55-38-47-13,12/29/10
03-18-41-33-09-47,1/3/11
48-15-07-46-18-05,1/5/11
34-04-48-01-16-52,1/8/11
48-06-46-51-20-08,1/10/11
14-29-02-49-47-23,1/12/11
05-51-12-25-54-33,1/15/11
22-31-10-49-07-39,1/17/11
06-54-26-04-43-38,1/19/11
51-38-22-26-07-52,1/22/11
06-17-41-31-47-29,1/24/11
21-09-55-12-28-36,1/26/11
53-24-01-51-44-10,1/29/11
33-20-30-39-17-50,1/31/11
18-05-55-38-19-07,2/2/11
28-53-30-41-09-39,2/5/11
42-11-47-03-45-22,2/7/11
24-30-54-16-22-40,2/9/11
32-26-34-35-43-49,2/12/11
32-14-44-37-55-46,2/14/11
18-20-07-05-10-12,2/16/11
04-41-49-29-18-33,2/19/11
13-30-41-33-10-25,2/21/11
12-50-35-05-24-01,2/23/11
52-44-08-22-51-47,2/26/11
41-14-51-29-54-32,2/28/11
26-48-39-50-29-47,3/2/11
19-53-42-54-31-05,3/5/11
31-26-51-02-35-55,3/7/11
01-22-26-32-43-31,3/9/11
25-12-17-16-54-19,3/12/11
37-29-26-12-06-35,3/14/11
28-18-27-09-50-46,3/16/11
17-55-09-39-07-34,3/19/11
53-15-12-07-08-32,3/21/11
53-52-36-48-45-29,3/23/11
02-34-44-01-09-13,3/26/11
55-46-16-43-45-01,3/28/11
50-18-35-02-14-45,3/30/11
44-07-41-42-37-04,4/2/11
33-06-25-55-05-48,4/4/11
04-20-41-18-07-27,4/6/11
36-24-05-21-47-04,4/9/11
06-15-08-39-37-24,4/11/11
03-29-23-22-35-54,4/13/11
09-20-18-48-51-36,4/16/11
25-15-18-34-39-29,4/18/11
45-35-20-05-16-26,4/20/11
38-10-49-40-09-26,4/25/11
43-49-53-44-37-23,4/27/11
24-25-48-34-03-23,4/30/11
02-01-15-24-36-08,5/2/11
06-24-53-36-11-27,5/4/11
06-51-55-50-39-41,5/7/11
41-51-55-49-39-52,5/9/11
16-18-07-06-35-24,5/11/11
35-19-51-12-25-09,5/14/11
31-16-54-42-40-08,5/16/11
