4-25-28-32-35-43,1/5/06
1-10-11-16-45-49,1/8/06
16-18-19-21-43-47,1/12/06
1-5-9-36-42-48,1/15/06
4-5-24-36-40-48,1/19/06
6-11-18-41-43-47,1/22/06
2-7-35-43-46-48,1/26/06
20-24-31-33-35-43,1/29/06
6-8-10-28-32-33,2/2/06
1-5-27-37-42-45,2/5/06
5-6-12-13-40-43,2/9/06
1-4-13-15-18-23,2/12/06
10-33-39-41-44-49,2/16/06
4-5-26-32-40-49,2/19/06
12-16-25-27-37-47,2/23/06
15-26-30-37-41-42,2/26/06
6-10-12-16-32-35,3/2/06
15-16-25-40-42-46,3/5/06
24-25-38-44-46-48,3/9/06
2-3-16-17-37-41,3/12/06
2-10-11-27-32-39,3/16/06
20-29-38-40-42-46,3/19/06
8-11-14-16-19-45,3/23/06
1-7-30-31-36-43,3/26/06
10-13-15-22-32-45,3/30/06
4-12-19-20-24-42,4/2/06
15-21-22-32-43-49,4/6/06
12-20-36-37-38-41,4/9/06
2-21-27-28-30-40,4/20/06
4-7-11-35-40-42,4/23/06
8-9-17-32-37-45,4/27/06
10-12-23-30-38-42,4/30/06
2-4-23-26-36-47,5/4/06
13-16-17-19-21-30,5/7/06
10-16-29-43-44-47,5/11/06
2-5-25-46-47-49,5/14/06
4-5-17-28-30-32,5/18/06
5-9-15-22-23-48,5/21/06
4-5-27-34-38-39,5/25/06
1-6-16-26-35-40,5/28/06
1-14-16-25-32-39,6/1/06
14-17-26-37-39-44,6/4/06
11-18-38-42-46-47,6/8/06
12-26-28-37-41-48,6/11/06
9-15-29-30-39-49,6/15/06
7-9-12-23-24-49,6/18/06
7-10-13-17-45-49,6/22/06
24-26-28-35-37-48,6/25/06
21-30-24-48-17-38,6/29/06
11-17-28-45-01-43,7/2/06
9 -10-17-27-37-45,7/6/06
19-29-48-49-27-14,7/9/06
32-05-28-25-22-14,7/13/06
38-08-48-30-10-46,7/16/06
03-12-25-01-39-16,7/20/06
08-01-28-02-04-24,7/23/06
06-27-45-19-30-41,7/27/06
03-34-14-39-47-01,7/30/06
4 -12-39-40-45-48,8/3/06
39-46-24-20-49-18,8/6/06
26-29-18-06-22-15,8/10/06
10-13-14-26-35-42,8/13/06
36-40-04-12-31-43,8/17/06
17-23-12-18-27-05,8/20/06
33-38-17-36-16-41,8/24/06
32-49-30-24-36-20,8/27/06
09-24-26-36-49-12,8/31/06
45-30-32-28-25-44,9/3/06
15-22-08-27-32-18,9/7/06
11-04-15-18-31-13,9/10/06
36-04-40-20-18-44,9/14/06
32-21-15-27-24-07,9/17/06
13-12-42-08-11-23,9/21/06
07-25-40-21-05-06,9/24/06
43-45-09-02-21-49,10/1/06
07-20-30-14-08-10,10/5/06
35-37-12-32-24-04,10/8/06
24-21-38-35-12-18,9/28/06
11-24-42-23-35-47,10/12/06
38-11-07-25-36-06,10/15/06
31-41-03-17-47-15,10/19/06
28-29-33-45-07-36,10/22/06
04-19-11-48-49-44,10/26/06
32-49-27-03-16-47,10/29/06
41-28-32-09-44-01,11/2/06
24-13-35-47-39-36,11/5/06
23-3 -1 -25-17-44,11/9/06
42-03-08-30-48-22,11/12/06
9-12-13-24-37-40,11/16/06
2-20-32-34-39-47,11/19/06
15-20-35-44-45-49,11/23/06
6-11-14-19-30-37,11/26/06
1-17-20-24-28-43,11/30/06
6-9-15-16-24-48,12/3/06
8-10-17-18-25-37,12/7/06
4-6-16-19-40-42,12/10/06
13-25-28-36-39-42,12/14/06
4-5-6-38-39-46,12/17/06
3-18-27-34-41-48,12/21/06
1-18-27-33-37-42,12/24/06
9-14-20-25-28-39,12/28/06
15-19-23-38-42-47,12/31/06
3-19-22-41-48-49,1/4/07
13-22-25-28-33-38,1/7/07
9-21-30-38-39-41,1/11/07
1-28-31-32-34-36,1/14/07
2-5-13-16-38-41,1/18/07
4-11-14-27-31-34,1/21/07
2-3-21-22-30-49,1/25/07
3-15-24-37-41-47,1/28/07
1-19-22-27-35-46,2/1/07
